"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999"
"11020","Altoona, PA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",1139914,1230999,1283897,1331897,1414118,1511644,1597220,1658933,1743086,1888384,1999299,2092950,2237068,2350285,2456062,2549386,2689142,2832129,2974443,3086529
"11020","Altoona, PA (Metropolitan Statistical Area)","2","Population (persons) 1/",136443,135457,135600,134397,132925,132253,131556,131712,131408,130546,130593,131160,131270,131661,132124,131802,131080,130931,130509,129757
"11020","Altoona, PA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",8355,9088,9468,9910,10638,11430,12141,12595,13265,14465,15309,15957,17042,17851,18589,19343,20515,21631,22791,23787
"11100","Amarillo, TX (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",1855393,2142554,2356454,2628888,2792319,2926895,2961570,3012867,3054730,3201986,3338739,3419313,3678063,3920092,4150926,4399764,4598530,4902690,5130577,5255937
"11100","Amarillo, TX (Metropolitan Statistical Area)","2","Population (persons) 1/",185546,188598,192559,195720,198910,199407,200618,200360,201069,199721,198488,200626,203371,207282,211306,217400,219808,222054,223545,226621
"11100","Amarillo, TX (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",10000,11360,12238,13432,14038,14678,14762,15037,15192,16032,16821,17043,18085,18912,19644,20238,20921,22079,22951,23193
"11180","Ames, IA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",920694,1017524,1071684,1129891,1234308,1308318,1364901,1435017,1481087,1627452,1704309,1781381,1886316,1929888,2096559,2191335,2364088,2502054,2618208,2714931
"11180","Ames, IA (Metropolitan Statistical Area)","2","Population (persons) 1/",98682,99140,98350,99213,99117,99559,99338,98466,99056,98820,99582,99832,100389,101141,101060,101721,102679,103856,104151,105536
"11180","Ames, IA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",9330,10264,10897,11389,12453,13141,13740,14574,14952,16469,17115,17844,18790,19081,20746,21543,23024,24092,25139,25725
"11260","Anchorage, AK (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",3211582,3723866,4632735,5128428,5583720,5961447,5979180,5660841,5718140,6221162,6668663,7008195,7527293,7962980,8283282,8443275,8710468,9293914,9854901,10208968
"11260","Anchorage, AK (Metropolitan Statistical Area)","2","Population (persons) 1/",193839,199831,216861,237309,252265,264128,270074,265211,263645,263958,267762,277407,290307,296514,300188,301878,302606,306480,312895,317172
"11260","Anchorage, AK (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",16568,18635,21363,21611,22134,22570,22139,21345,21689,23569,24905,25263,25929,26855,27594,27969,28785,30325,31496,32187
